Rango de edad,¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones estáticas (para imprimir)],¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones interactivas (para usar el mouse y realizar acciones)],¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones animadas (gift/videos)],¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Televisión],¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Redes Sociales],"¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Prensa Escrita (página de noticia, periodico)]","¿Con qué número asocia ""Una maraqueta""?
Link a la imagen",¿Estación del año favorita?,¿Cuantas películas o series has visto aproximadamente este año?,¿Cuantos libros/papers/mangas distintos has leido aproximadamente este año? No es necesario que los hayas terminado de leer,¿Cuanto es el máximo de completos que te has comido en un día?,¿Cuanto veces aproximadamente has salido de fiesta este año?,"El tamaño del círculo de la izquierda representa el valor 1, a medida que aumenta el tamaño (área), el valor es más grande. ¿Qué valor crees que representa el círculo de la derecha?","El largo de la barra de la izquierda representa el valor 1, a medida que aumenta el largo, el valor es más grande. ¿Qué valor crees que representa la barra de la derecha?","El color del circulo de la izquierda representa el valor 1, a medida que el color se vuelve más claro, el valor es más grande. ¿Qué valor crees que representa el círculo de la derecha?",¿A qué color asocia el curso de “Matemáticas” (piense en el forro de cuaderno del colegio)?,¿A qué color asocia el curso de “Lenguaje” (piense en el forro de cuaderno del colegio)?,Conteste un animal cualquiera,Conteste con otro animal que esté relacionado al que dijo en la pregunta anterior,Conteste con un tercer animal que esté relacionado al que dijo justo antes,Tienes hobbies ¿cuales?,Piense en una fecha que le guste,¿Qué país le gustaría visitar?,"Si tuviera que organizar una junta (de amigos, para ir al cine, de trabajo o cualquier tema) ¿A qué hora la haría?"
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gusta,Ninguna,3 a 5,3 a 5,4,Invierno,4,3,5,40,10,3,7,Rojo,Azul,Delfin,Pez Globo,Pez Espada,"Programar, escalar e ir al gimnasio",9/10/2000,Dinamarca,9:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,1 o 2,3 a 5,3 a 5,3,Verano,8,12,6,20,4,3,3,Azul,Rojo,Gato,Perro,Conejo,skate,3/7/2022,Japón,11:00:00 p. m.
26 a 35 años,No me gusta,Me gustan demasiado,Me gusta,1 o 2,3 a 5,1 o 2,4,Invierno,2,25,6,3,9,3,5,Azul,Rojo,Gato,Leon,Lince,"Dibujar, leer(cosas otaku generalmente), videojuegos de bajo rendimiento",1/8/2022,Tailandia,3:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,1 o 2,Más de 6,1 o 2,4,Invierno,40,10,3,10,5,3,2,Rojo,Amarillo,Tigre,Gato,Puma,Ajedrez,14/3/1592,Japón,2:00:00 a. m.
19 a 25 años,Me gusta,Me es indiferente,No tengo opinión,Ninguna,3 a 5,Ninguna,3,Invierno,8,0,5,20,7,3,2,Azul,Verde,Piraña,Tiburón,Pez payaso,Juegos de mesa y en menor medida videojuegos con grinds entretenidas,18/9/2022,,3:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,3 a 5,3 a 5,3 a 5,4,Otoño,6,4,5,3,25,3,4,Azul,Rojo,oso panda,oso polar,oso pardo,videojuegos,21/2/2022,Japón,8:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,3 a 5,Más de 6,1 o 2,4,Otoño,20,300,4,12,13,3,60,Azul,Rojo,medusa,Estrella de mar,Esponja de mar,videojuegos,31/12/2022,Japón,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,3 a 5,3,Invierno,20,10,5,10,7,3,4,Azul,Verde,ardilla,oso,ciervo,"videojuegos, cocinar, música",18/8/2022,islandia,6:00:00 a. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,3 a 5,Más de 6,Ninguna,4,Invierno,10,15,4,5,6,3,3,Azul,Rojo,Perro,Gato,Canario,Anime,12/2/2015,Nueva Zelanda,6:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,3 a 5,1 o 2,No uso este medio,3,Verano,100,14,4,3,5,3,8,Azul,Rojo,Lobo,Perro,Gato,"Leer, ver peliculas",17/8/2001,Italia,6:00:00 p. m.
19 a 25 años,Me gustan demasiado,Me gustan demasiado,Me gusta,1 o 2,Más de 6,No uso este medio,3,Verano,10,15,2,2,9,4,5,Rojo,Azul,Gato,Ocelote,Pantera,Leer,20/7/1969,Grecia,4:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,1 o 2,3,Primavera,20,8,2,25,9,3,5,Rojo,Rojo,Pingüino,oso polar,Oso Panda,"videojuegos, anime y voleyball",18/9/2022,Japón,8:00:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,No uso este medio,4,Primavera,4,3,6,4,9,3,5,Azul,Rojo,Gato,Perro,canario,deporte,7/9/1999,Estados Unidos,8:00:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gustan demasiado,3 a 5,1 o 2,Más de 6,4,Verano,30,0,3,4,9,3,4,Azul,Rojo,Gato,tigre,León,"Tocar guitarra, cantar, videojuegos",9/5/2017,Inglaterra,6:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,3 a 5,Más de 6,1 o 2,3,Verano,20,40,3,10,100,100,-100,Azul,Rojo,Perro,Tortuga,Pez,Leer comics,25/12/2000,Estados Unidos,6:30:00 p. m.
